luminance,s_frequency,col_dir_id,bkg_id,ge_sigma,area,N,log_cone_contrast,dataset,ge_lambda,stim_id,t_frequency,orientation,eccentricity,vis_field,var_log_cone_contrast,stimulus,L,M,S,bkg_label,R,L_delta,M_delta,S_delta,R_delta,col_dir_label,sensitivity,L_delta_norm,M_delta_norm,S_delta_norm
50,0.125,1,1,4.4143593773175,61.2188611096406,1,-2.14285714285714,rovamo1993,0.551794922164688,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.264392831791062,0.113811982230776,0.00749194171240494,NaN,NA,138.949549437313,0.918203011274591,0.395254682570263,0.0260185701481506
50,0.125,1,1,8.87455070549337,247.424455358884,1,-2.22527472527473,rovamo1993,1.10931883818667,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.218691595962902,0.0941391786802267,0.00619693309704268,NaN,NA,167.986632911378,0.918203011274591,0.395254682570263,0.0260185701481506
50,0.125,1,1,17.5076696085025,962.956252459904,1,-2.34065934065934,rovamo1993,2.18845870106281,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.167666955544614,0.0721748333185221,0.00475107834628934,NaN,NA,219.108557989222,0.918203011274591,0.395254682570263,0.0260185701481506
50,0.25,1,1,2.14297399243167,14.4272538540853,1,-1.92391304347826,rovamo1993,0.535743498107918,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.437717364609457,0.188422207158787,0.0124033354457699,NaN,NA,83.9291922645137,0.918203011274591,0.395254682570263,0.0260185701481506
50,0.25,1,1,4.37744786138333,60.1993548138352,1,-2.1195652173913,rovamo1993,1.09436196534583,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.278959786422288,0.120082553071955,0.00790471680273203,NaN,NA,131.693766054906,0.918203011274591,0.395254682570263,0.0260185701481506
50,0.25,1,1,8.77529647989799,241.920944502639,1,-2.39673913043478,rovamo1993,2.1938241199745,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.147355954124364,0.0634316487281109,0.00417553763389461,NaN,NA,249.309673776862,0.918203011274591,0.395254682570263,0.0260185701481506
50,0.25,1,1,17.2639173970251,936.329208823939,1,-2.4945652173913,rovamo1993,4.31597934925628,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.117636366531463,0.0506383927532205,0.00333339143630526,NaN,NA,312.295134022162,0.918203011274591,0.395254682570263,0.0260185701481506
50,0.5,1,1,1.12781553327762,3.99600493830675,1,-1.83977900552486,rovamo1993,0.563907766638811,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.531285317173702,0.228699978997274,0.0150547146152111,NaN,NA,69.1479016345791,0.918203011274591,0.395254682570263,0.0260185701481506
50,0.5,1,1,2.25450436199808,15.9680554669721,1,-2.07182320441989,rovamo1993,1.12725218099904,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.311374909869709,0.134036144131193,0.00882324478937732,NaN,NA,117.984024040972,0.918203011274591,0.395254682570263,0.0260185701481506
50,0.5,1,1,4.42317382323793,61.4635847636877,1,-2.30386740331492,rovamo1993,2.21158691161896,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.182490144866305,0.0785557043438643,0.0051711142059522,NaN,NA,201.310952318754,0.918203011274591,0.395254682570263,0.0260185701481506
50,0.5,1,1,9.00901056397837,254.978795396292,1,-2.58563535911602,rovamo1993,4.50450528198918,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.095383105933429,0.041059132670399,0.00270281408599654,NaN,NA,385.15483944781,0.918203011274591,0.395254682570263,0.0260185701481506
50,0.5,1,1,17.675024440648,981.453930705507,1,-2.66850828729282,rovamo1993,8.837512220324,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.0788131220981311,0.0339263269394271,0.00223328035382771,NaN,NA,466.131322726707,0.918203011274591,0.395254682570263,0.0260185701481506
50,1,1,1,0.564189583547756,1,1,-1.80327868852459,rovamo1993,0.564189583547756,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.577867314845682,0.248751920100984,0.0163746808527286,NaN,NA,63.5738757116483,0.918203011274591,0.395254682570263,0.0260185701481506
50,1,1,1,1.10994795320508,3.87039332517875,1,-2.0327868852459,rovamo1993,1.10994795320508,-1,0,0,0,180,NaN,grating,36.7372648518233,15.8141236515338,1.04100192534928,D65,NaN,0.340659052389534,0.146641956041947,0.00965305204008851,NaN,NA,107.841739692904,0.918203011274591,0.395254682570263,0.0260185701481506
